,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
Qualcomm,SM8250_AC,Snapdragon 870 5G (7nm),,Adreno,650,1,670,,,,A77,1,3.2,A77,3,2.42,A55,4,1.8
Qualcomm,SM8350,Snapdragon 888,2021.1Q,Adreno,660,1,840,X1,1,2.84,,,,A78,3,2.42,A55,4,1.8
Qualcomm,SM8350AC,Snapdragon 888 5G (5nm),,,660,1,840,X1,1,2.84,,,,A78,3,2.42,A55,4,1.8
Qualcomm,SM8350-AC,Snapdragon 888+,2021.3Q,Adreno,660,1,840,X1,1,3,,,,A78,3,2.42,A55,4,1.8
Qualcomm,SM8450,Snapdragon 8 Gen 1,2021.4Q,Adreno,730,1,818,X2,1,3,,,,A710,3,2.5,A510,4,1.8
Qualcomm,SM8475,Snapdragon 8+ Gen 1,2022.2Q,Adreno,730,1,900,X2,1,3.2,,,,A710,3,2.75,A510,4,2
Qualcomm,SM8550-AB,Snapdragon 8 Gen 2,2022.4Q,Adreno,740,1,680,X3,1,3.2,A715,2,2.8,A710,2,2.8,A510,3,2
Qualcomm,SM8550-AC,Snapdragon 8 Gen 2 for Galaxy,2023.1Q,Adreno,740,1,719,X3,1,3.36,A715,2,2.8,A710,2,2.8,A510,3,2
Qualcomm,ATOLL-AB,,2021.1Q,Adreno,618,1,750,,,,,,,A76,2,2.3,A55,6,1.8
Qualcomm,BENGAL,,,Adreno,610,1,950,,,,,,,A73,4,2,A53,4,1.8
Qualcomm,KHAJE,Snapdragon 680 4G (6nm),,Adreno,610,1,1114,,,,,,,A73,4,2.4,A55,4,1.9
Qualcomm,KONA,,,Adreno,650,1,587,,,,A77,1,2.84,A77,3,2.42,A55,4,1.8
Qualcomm,LAGOON,Snapdragon 750G 5G (8nm),,Adreno,619,1,800,,,,,,,A77,2,2.2,A55,6,1.8
Qualcomm,LITO,,,Adreno,620,1,625,,,,A76,1,2.4,A76,1,2.2,A55,6,1.8
Qualcomm,SDMMAGPIE,Snapdragon 730,,Adreno,618,1,610,,,,,,,A76,2,2.2,A55,6,1.8
Qualcomm,TRINKET,,,Adreno,610,1,950,,,,,,,A73,4,2,A53,4,1.8
Qualcomm,Yupik IDP + PM7250B,Snapdragon 778G 5G (6nm),,Adreno,642L,1,550,,,,A78,1,2.4,A78,3,2.2,A55,4,1.9
MediaTek,MT6739CH,,,PowerVR,GE8100,1,570,,,,,,,,,,A53,4,1.5
MediaTek,MT6739WA,,,PowerVR,GE8100,1,570,,,,,,,,,,A53,4,1.5
MediaTek,MT6739WW,,2017.4Q,PowerVR,GE8100,1,570,,,,,,,,,,A53,4,1.5
MediaTek,MT6750,,2016.2Q,Mali,T860,2,520,,,,,,,A53,4,1.5,A53,4,1
MediaTek,MT6750T,,,Mali,T860,2,520,,,,,,,A53,4,1.5,A53,4,1
MediaTek,MT6750V/W,,,Mali,T860,2,520,,,,,,,A53,4,1.5,A53,4,1
MediaTek,MT6757,Helio P20,,Mali,T880,2,,,,,,,,A53,4,2.35,A53,4,1.64
MediaTek,MT6757V/WD,,,Mali,T880,2,,,,,,,,A53,4,2.35,A53,4,1.64
MediaTek,MT6757V/WL,,,Mali,T880,2,,,,,,,,A53,4,2.35,A53,4,1.64
MediaTek,MT6761V/WBB,Helio A22,2018.2Q,PowerVR,GE8300,1,660,,,,,,,,,,A53,4,2
MediaTek,MT6761V/WE,Helio A20,2020.1Q,PowerVR,GE8300,1,550,,,,,,,,,,A53,4,1.8
MediaTek,MT6762,Helio P22,2018.2Q,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,MT6762G,Helio G25,2020.2Q,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,mt6762m,,,PowerVR,GE8320,1,650,,,,,,,,,,A53,4,2
MediaTek,MT6762V/CA,,,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,MT6762V/CB,,,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,MT6762V/CN,,,PowerVR,GE8320,1,650,,,,,,,,,,A53,4,1.5
MediaTek,MT6762V/CR,,,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,MT6763V/CE,,,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,MT6762V/WA,,,PowerVR,GE8320,1,650,,,,,,,A53,4,2,A53,4,1.5
MediaTek,MT6762V/WB,Helio A25,2019.4Q,PowerVR,GE8320,1,600,,,,,,,A53,4,1.8,A53,4,1.5
MediaTek,MT6762V/WD,Helio A25,2019.4Q,PowerVR,GE8320,1,600,,,,,,,A53,4,1.8,A53,4,1.5
MediaTek,MT6762V/WR,,,PowerVR,GE8320,1,600,,,,,,,A53,4,1.8,A53,4,1.5
MediaTek,MT6763V/CT,Helio P23,2021.1Q,Mali,G71,2,770,,,,,,,A53,4,2.3,A53,4,1.65
MediaTek,MT6765,Helio P35,2019.4Q,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6765G,Helio G35,2020.2Q,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6765H,Helio G37,2021.4Q,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6765V/CA,,,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6765V/CB,Helio G35,2020.2Q,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6765V/WA,,,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6765V/WB,Helio P35,,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
